county,district,date,open_stores7eleven,open_storesfamilymart,open_storeshilife,open_storesOK,open_storespxmart,open_storescarrefour,open_storesrtmart,open_storessimplemart,open_storescpc
臺南市,山上區,2018-04-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,山上區,2018-05-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,山上區,2018-06-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,山上區,2018-07-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,山上區,2018-08-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,山上區,2018-09-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,山上區,2018-10-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,山上區,2018-11-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,山上區,2018-12-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,左鎮區,2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,左鎮區,2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,左鎮區,2018-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,左鎮區,2018-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,左鎮區,2018-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,左鎮區,2018-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,左鎮區,2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,左鎮區,2018-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,左鎮區,2018-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,左鎮區,2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,左鎮區,2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,左鎮區,2018-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,後壁區,2018-01-01,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
臺南市,後壁區,2018-02-01,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
臺南市,後壁區,2018-03-01,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
臺南市,後壁區,2018-04-01,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
臺南市,後壁區,2018-05-01,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
臺南市,後壁區,2018-06-01,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
臺南市,後壁區,2018-07-01,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
臺南市,後壁區,2018-08-01,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
臺南市,後壁區,2018-09-01,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
臺南市,後壁區,2018-10-01,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
臺南市,後壁區,2018-11-01,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
臺南市,後壁區,2018-12-01,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
臺南市,新化區,2018-01-01,9.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0
臺南市,新化區,2018-02-01,9.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0
臺南市,新化區,2018-03-01,9.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0
臺南市,新化區,2018-04-01,9.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0
臺南市,新化區,2018-05-01,9.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0
臺南市,新化區,2018-06-01,9.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0
臺南市,新化區,2018-07-01,9.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0
臺南市,新化區,2018-08-01,9.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0
臺南市,新化區,2018-09-01,9.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0
臺南市,新化區,2018-10-01,9.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0
臺南市,新化區,2018-11-01,9.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0
臺南市,新化區,2018-12-01,9.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0
臺南市,新市區,2018-01-01,20.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0
臺南市,新市區,2018-02-01,20.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0
臺南市,新市區,2018-03-01,20.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0
臺南市,新市區,2018-04-01,20.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0
臺南市,新市區,2018-05-01,20.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0
臺南市,新市區,2018-06-01,20.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0
臺南市,新市區,2018-07-01,20.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,8.0
臺南市,新市區,2018-08-01,20.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,8.0
臺南市,新市區,2018-09-01,20.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,8.0
臺南市,新市區,2018-10-01,20.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,8.0
臺南市,新市區,2018-11-01,20.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,8.0
臺南市,新市區,2018-12-01,20.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,8.0
臺南市,新營區,2018-01-01,14.0,8.0,2.0,0.0,5.0,1.0,0.0,0.0,8.0
臺南市,新營區,2018-02-01,14.0,8.0,2.0,0.0,5.0,1.0,0.0,0.0,8.0
臺南市,新營區,2018-03-01,14.0,8.0,2.0,0.0,5.0,1.0,0.0,0.0,8.0
臺南市,新營區,2018-04-01,14.0,8.0,2.0,0.0,5.0,1.0,0.0,0.0,8.0
臺南市,新營區,2018-05-01,14.0,8.0,2.0,0.0,5.0,1.0,0.0,0.0,8.0
臺南市,新營區,2018-06-01,14.0,8.0,2.0,0.0,5.0,1.0,0.0,0.0,8.0
臺南市,新營區,2018-07-01,14.0,8.0,2.0,0.0,5.0,1.0,0.0,0.0,8.0
臺南市,新營區,2018-08-01,14.0,8.0,2.0,0.0,5.0,1.0,0.0,0.0,8.0
臺南市,新營區,2018-09-01,14.0,8.0,2.0,0.0,5.0,1.0,0.0,0.0,8.0
臺南市,新營區,2018-10-01,14.0,8.0,2.0,0.0,5.0,1.0,0.0,0.0,8.0
臺南市,新營區,2018-11-01,14.0,8.0,2.0,0.0,5.0,1.0,0.0,0.0,8.0
臺南市,新營區,2018-12-01,14.0,8.0,2.0,0.0,5.0,1.0,0.0,0.0,8.0
臺南市,東區,2018-01-01,55.0,26.0,6.0,0.0,11.0,3.0,0.0,2.0,10.0
臺南市,東區,2018-02-01,55.0,26.0,6.0,0.0,11.0,3.0,0.0,2.0,10.0
臺南市,東區,2018-03-01,55.0,26.0,6.0,0.0,11.0,3.0,0.0,2.0,10.0
臺南市,東區,2018-04-01,55.0,26.0,6.0,0.0,12.0,3.0,0.0,2.0,10.0
臺南市,東區,2018-05-01,55.0,26.0,6.0,0.0,12.0,3.0,0.0,2.0,10.0
臺南市,東區,2018-06-01,55.0,26.0,6.0,0.0,12.0,3.0,0.0,2.0,10.0
臺南市,東區,2018-07-01,55.0,26.0,6.0,0.0,12.0,3.0,0.0,2.0,10.0
臺南市,東區,2018-08-01,55.0,26.0,6.0,0.0,12.0,3.0,0.0,2.0,10.0
臺南市,東區,2018-09-01,55.0,26.0,6.0,0.0,12.0,3.0,0.0,2.0,10.0
臺南市,東區,2018-10-01,55.0,26.0,6.0,0.0,12.0,3.0,0.0,2.0,10.0
臺南市,東區,2018-11-01,55.0,26.0,6.0,0.0,12.0,3.0,0.0,2.0,10.0
臺南市,東區,2018-12-01,55.0,26.0,6.0,0.0,12.0,3.0,0.0,2.0,10.0
臺南市,東山區,2018-01-01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
臺南市,東山區,2018-02-01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
臺南市,東山區,2018-03-01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
臺南市,東山區,2018-04-01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
臺南市,東山區,2018-05-01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
臺南市,東山區,2018-06-01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
臺南市,東山區,2018-07-01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
臺南市,東山區,2018-08-01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
臺南市,東山區,2018-09-01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
臺南市,東山區,2018-10-01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
臺南市,東山區,2018-11-01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
臺南市,東山區,2018-12-01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
臺南市,柳營區,2018-01-01,7.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0
臺南市,柳營區,2018-02-01,7.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0
臺南市,柳營區,2018-03-01,7.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0
臺南市,柳營區,2018-04-01,7.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0
